,doc_index,doc_id,token,bow
0,0,ML0201EN,ai,2
1,0,ML0201EN,apps,2
2,0,ML0201EN,build,2
3,0,ML0201EN,cloud,1
4,0,ML0201EN,coming,1
5,0,ML0201EN,create,1
6,0,ML0201EN,data,1
7,0,ML0201EN,developer,1
8,0,ML0201EN,found,1
9,0,ML0201EN,fun,1
10,0,ML0201EN,iot,4
11,0,ML0201EN,irobot,1
12,0,ML0201EN,learn,2
13,0,ML0201EN,node,1
14,0,ML0201EN,objects,1
15,0,ML0201EN,pi,1
16,0,ML0201EN,pictures,2
17,0,ML0201EN,place,1
18,0,ML0201EN,program,1
19,0,ML0201EN,raspberry,1
20,0,ML0201EN,raspcam,1
21,0,ML0201EN,read,1
22,0,ML0201EN,recognize,1
23,0,ML0201EN,red,2
24,0,ML0201EN,robot,1
25,0,ML0201EN,robots,1
26,0,ML0201EN,services,1
27,0,ML0201EN,swift,2
28,0,ML0201EN,take,1
29,0,ML0201EN,temperature,1
30,0,ML0201EN,use,1
31,0,ML0201EN,want,1
32,0,ML0201EN,watson,2
33,0,ML0201EN,way,1
34,1,ML0122EN,ai,2
35,1,ML0122EN,cloud,2
36,1,ML0122EN,data,1
37,1,ML0122EN,learn,1
38,1,ML0122EN,use,4
39,1,ML0122EN,accelerate,1
40,1,ML0122EN,accelerated,5
41,1,ML0122EN,accelerating,1
42,1,ML0122EN,analyze,1
43,1,ML0122EN,based,1
44,1,ML0122EN,benefit,1
45,1,ML0122EN,caffe,1
46,1,ML0122EN,case,1
47,1,ML0122EN,chips,1
48,1,ML0122EN,classification,1
49,1,ML0122EN,comfortable,1
50,1,ML0122EN,complex,1
51,1,ML0122EN,computations,1
52,1,ML0122EN,convolutional,1
53,1,ML0122EN,course,2
54,1,ML0122EN,datasets,1
55,1,ML0122EN,deep,4
56,1,ML0122EN,dependencies,1
57,1,ML0122EN,deploy,1
58,1,ML0122EN,designed,1
59,1,ML0122EN,feel,1
60,1,ML0122EN,google,1
61,1,ML0122EN,gpu,7
62,1,ML0122EN,hardware,5
63,1,ML0122EN,house,1
64,1,ML0122EN,ibm,1
65,1,ML0122EN,images,1
66,1,ML0122EN,including,2
67,1,ML0122EN,inference,1
68,1,ML0122EN,large,1
69,1,ML0122EN,learning,6
70,1,ML0122EN,libraries,1
71,1,ML0122EN,machine,1
72,1,ML0122EN,models,1
73,1,ML0122EN,need,1
74,1,ML0122EN,needs,1
75,1,ML0122EN,network,1
76,1,ML0122EN,networks,3
77,1,ML0122EN,neural,2
78,1,ML0122EN,nvidia,1
79,1,ML0122EN,one,1
80,1,ML0122EN,overcome,1
81,1,ML0122EN,platform,1
82,1,ML0122EN,popular,1
83,1,ML0122EN,power,3
84,1,ML0122EN,preferring,1
85,1,ML0122EN,premise,1
86,1,ML0122EN,problem,2
87,1,ML0122EN,problems,1
88,1,ML0122EN,processing,1
89,1,ML0122EN,public,1
90,1,ML0122EN,reduce,1
91,1,ML0122EN,scalability,1
92,1,ML0122EN,scaling,1
93,1,ML0122EN,sensitiveand,1
94,1,ML0122EN,several,1
95,1,ML0122EN,solution,1
96,1,ML0122EN,support,2
97,1,ML0122EN,supports,1
98,1,ML0122EN,system,1
99,1,ML0122EN,systems,1
100,1,ML0122EN,takes,1
101,1,ML0122EN,tensor,1
102,1,ML0122EN,tensorflow,1
103,1,ML0122EN,theano,1
104,1,ML0122EN,time,3
105,1,ML0122EN,torch,1
106,1,ML0122EN,tpu,1
107,1,ML0122EN,trained,1
108,1,ML0122EN,training,3
109,1,ML0122EN,understand,1
110,1,ML0122EN,unit,1
111,1,ML0122EN,uploading,1
112,1,ML0122EN,videos,1
113,2,GPXX0ZG0EN,learn,1
114,2,GPXX0ZG0EN,services,1
115,2,GPXX0ZG0EN,use,1
116,2,GPXX0ZG0EN,client,2
117,2,GPXX0ZG0EN,consuming,1
118,2,GPXX0ZG0EN,http,1
119,2,GPXX0ZG0EN,invoke,1
120,2,GPXX0ZG0EN,jax,2
121,2,GPXX0ZG0EN,microservices,1
122,2,GPXX0ZG0EN,reactive,2
123,2,GPXX0ZG0EN,restful,2
124,2,GPXX0ZG0EN,rs,2
125,2,GPXX0ZG0EN,using,1
126,3,RP0105EN,data,4
127,3,RP0105EN,large,1
128,3,RP0105EN,popular,1
129,3,RP0105EN,processing,1
130,3,RP0105EN,using,1
131,3,RP0105EN,analysis,1
132,3,RP0105EN,analyzing,1
133,3,RP0105EN,apache,2
134,3,RP0105EN,api,1
135,3,RP0105EN,big,1
136,3,RP0105EN,cluster,1
137,3,RP0105EN,computing,1
138,3,RP0105EN,distributed,1
139,3,RP0105EN,enables,1
140,3,RP0105EN,familiar,1
141,3,RP0105EN,frame,1
142,3,RP0105EN,framework,1
143,3,RP0105EN,performing,1
144,3,RP0105EN,provides,1
145,3,RP0105EN,r,2
146,3,RP0105EN,scale,1
147,3,RP0105EN,spark,2
148,3,RP0105EN,sparkr,1
149,3,RP0105EN,structured,1
150,3,RP0105EN,syntax,1
151,3,RP0105EN,used,1
152,3,RP0105EN,users,1
153,4,GPXX0Z2PEN,learn,1
154,4,GPXX0Z2PEN,application,2
155,4,GPXX0Z2PEN,boot,2
156,4,GPXX0Z2PEN,containerize,1
157,4,GPXX0Z2PEN,containerizing,1
158,4,GPXX0Z2PEN,liberty,1
159,4,GPXX0Z2PEN,modification,1
160,4,GPXX0Z2PEN,open,1
161,4,GPXX0Z2PEN,package,1
162,4,GPXX0Z2PEN,packaging,1
163,4,GPXX0Z2PEN,run,1
164,4,GPXX0Z2PEN,running,1
165,4,GPXX0Z2PEN,server,1
166,4,GPXX0Z2PEN,spring,2
167,5,CNSC02EN,cloud,2
168,5,CNSC02EN,data,2
169,5,CNSC02EN,conference,1
170,5,CNSC02EN,introduction,1
171,5,CNSC02EN,native,1
172,5,CNSC02EN,security,3
173,6,DX0106EN,data,3
174,6,DX0106EN,big,1
175,6,DX0106EN,r,1
176,6,DX0106EN,bootcamp,2
177,6,DX0106EN,day,1
178,6,DX0106EN,intensive,1
179,6,DX0106EN,multi,1
180,6,DX0106EN,offered,1
181,6,DX0106EN,person,1
182,6,DX0106EN,proffesors,1
183,6,DX0106EN,science,2
184,6,DX0106EN,university,2
185,7,GPXX0FTCEN,learn,2
186,7,GPXX0FTCEN,use,2
187,7,GPXX0FTCEN,containers,2
188,7,GPXX0FTCEN,development,2
189,7,GPXX0FTCEN,docker,2
190,7,GPXX0FTCEN,iterative,2
191,8,RAVSCTEST1,course,1
192,8,RAVSCTEST1,scorm,1
193,8,RAVSCTEST1,scron,1
194,8,RAVSCTEST1,test,2
195,9,GPXX06RFEN,create,1
196,9,GPXX06RFEN,basic,1
197,9,GPXX06RFEN,collections,1
198,9,GPXX06RFEN,creating,1
199,9,GPXX06RFEN,database,2
200,9,GPXX06RFEN,document,1
201,9,GPXX06RFEN,first,2
202,9,GPXX06RFEN,get,1
203,9,GPXX06RFEN,guided,1
204,9,GPXX06RFEN,management,1
205,9,GPXX06RFEN,mongodb,2
206,9,GPXX06RFEN,project,1
207,9,GPXX06RFEN,started,1
208,9,GPXX06RFEN,working,1
209,10,GPXX0SDXEN,learn,1
210,10,GPXX0SDXEN,microservices,2
211,10,GPXX0SDXEN,liberty,1
212,10,GPXX0SDXEN,open,1
213,10,GPXX0SDXEN,run,1
214,10,GPXX0SDXEN,arquillian,2
215,10,GPXX0SDXEN,container,2
216,10,GPXX0SDXEN,develop,1
217,10,GPXX0SDXEN,managed,2
218,10,GPXX0SDXEN,testing,1
219,10,GPXX0SDXEN,tests,2
220,11,CC0271EN,cloud,3
221,11,CC0271EN,developer,1
222,11,CC0271EN,course,1
223,11,CC0271EN,ibm,1
224,11,CC0271EN,solution,1
225,11,CC0271EN,using,1
226,11,CC0271EN,conference,1
227,11,CC0271EN,aiops,1
228,11,CC0271EN,attending,1
229,11,CC0271EN,comprehensive,1
230,11,CC0271EN,demonstrate,1
231,11,CC0271EN,digital,1
232,11,CC0271EN,essentials,1
233,11,CC0271EN,hands,1
234,11,CC0271EN,integration,4
235,11,CC0271EN,pak,2
236,11,CC0271EN,received,1
237,11,CC0271EN,short,1
238,12,WA0103EN,cloud,1
239,12,WA0103EN,data,1
240,12,WA0103EN,learn,3
241,12,WA0103EN,watson,5
242,12,WA0103EN,analyze,1
243,12,WA0103EN,course,1
244,12,WA0103EN,enables,1
245,12,WA0103EN,project,2
246,12,WA0103EN,analytics,6
247,12,WA0103EN,assemble,1
248,12,WA0103EN,base,1
249,12,WA0103EN,basics,1
250,12,WA0103EN,dataset,1
251,12,WA0103EN,fundamentals,1
252,12,WA0103EN,improve,1
253,12,WA0103EN,line,1
254,12,WA0103EN,media,4
255,12,WA0103EN,refine,1
256,12,WA0103EN,reports,1
257,12,WA0103EN,service,1
258,12,WA0103EN,setup,1
259,12,WA0103EN,smart,1
260,12,WA0103EN,social,5
261,12,WA0103EN,suggestions,1
262,12,WA0103EN,teaches,1
263,12,WA0103EN,topic,1
264,13,DX0108EN,data,2
265,13,DX0108EN,bootcamp,2
266,13,DX0108EN,science,2
267,13,DX0108EN,university,2
268,13,DX0108EN,advance,1
269,13,DX0108EN,professors,2
270,13,DX0108EN,python,2
271,14,GPXX0PICEN,create,1
272,14,GPXX0PICEN,take,1
273,14,GPXX0PICEN,first,1
274,14,GPXX0PICEN,project,1
275,14,GPXX0PICEN,python,2
276,14,GPXX0PICEN,algorithm,2
277,14,GPXX0PICEN,algorithmic,1
278,14,GPXX0PICEN,cryptocurrency,2
279,14,GPXX0PICEN,dive,1
280,14,GPXX0PICEN,earning,1
281,14,GPXX0PICEN,good,1
282,14,GPXX0PICEN,money,1
283,14,GPXX0PICEN,right,1
284,14,GPXX0PICEN,sleep,1
285,14,GPXX0PICEN,sound,1
286,14,GPXX0PICEN,trading,3
287,14,GPXX0PICEN,true,1
288,14,GPXX0PICEN,world,1
289,15,DAI101EN,ai,2
290,15,DAI101EN,data,2
291,15,DAI101EN,course,1
292,15,DAI101EN,essentials,2
293,16,GPXX0W7KEN,microservices,2
294,16,GPXX0W7KEN,access,1
295,16,GPXX0W7KEN,control,1
296,16,GPXX0W7KEN,eclipse,1
297,16,GPXX0W7KEN,java,1
298,16,GPXX0W7KEN,json,2
299,16,GPXX0W7KEN,jwt,2
300,16,GPXX0W7KEN,microprofile,4
301,16,GPXX0W7KEN,role,1
302,16,GPXX0W7KEN,securing,1
303,16,GPXX0W7KEN,token,2
304,16,GPXX0W7KEN,user,1
305,16,GPXX0W7KEN,web,2
306,17,GPXX0QR3EN,system,1
307,17,GPXX0QR3EN,jax,2
308,17,GPXX0QR3EN,microservices,1
309,17,GPXX0QR3EN,rs,2
310,17,GPXX0QR3EN,using,1
311,17,GPXX0QR3EN,distributed,1
312,17,GPXX0QR3EN,microprofile,1
313,17,GPXX0QR3EN,customize,1
314,17,GPXX0QR3EN,enable,1
315,17,GPXX0QR3EN,enabling,1
316,17,GPXX0QR3EN,methods,1
317,17,GPXX0QR3EN,non,1
318,17,GPXX0QR3EN,opentracing,1
319,17,GPXX0QR3EN,tracing,3
320,17,GPXX0QR3EN,zipkin,1
321,18,BD0145EN,create,1
322,18,BD0145EN,data,7
323,18,BD0145EN,learn,1
324,18,BD0145EN,use,1
325,18,BD0145EN,course,3
326,18,BD0145EN,learning,1
327,18,BD0145EN,understand,1
328,18,BD0145EN,using,1
329,18,BD0145EN,big,11
330,18,BD0145EN,familiar,1
331,18,BD0145EN,provides,1
332,18,BD0145EN,syntax,1
333,18,BD0145EN,server,1
334,18,BD0145EN,get,1
335,18,BD0145EN,working,1
336,18,BD0145EN,access,1
337,18,BD0145EN,methods,1
338,18,BD0145EN,another,1
339,18,BD0145EN,applying,1
340,18,BD0145EN,architecture,1
341,18,BD0145EN,chance,1
342,18,BD0145EN,common,1
343,18,BD0145EN,connect,1
344,18,BD0145EN,cover,1
345,18,BD0145EN,curve,1
346,18,BD0145EN,different,2
347,18,BD0145EN,easy,1
348,18,BD0145EN,exercises,1
349,18,BD0145EN,existing,1
350,18,BD0145EN,explain,1
351,18,BD0145EN,file,1
352,18,BD0145EN,formats,2
353,18,BD0145EN,hadoop,2
354,18,BD0145EN,help,1
355,18,BD0145EN,lab,1
356,18,BD0145EN,list,1
357,18,BD0145EN,load,1
358,18,BD0145EN,orc,1
359,18,BD0145EN,parquet,1
360,18,BD0145EN,proprietary,1
361,18,BD0145EN,relational,1
362,18,BD0145EN,sample,1
363,18,BD0145EN,schemas,1
364,18,BD0145EN,see,1
365,18,BD0145EN,show,2
366,18,BD0145EN,sql,13
367,18,BD0145EN,storage,1
368,18,BD0145EN,supported,1
369,18,BD0145EN,table,1
370,18,BD0145EN,tool,1
371,18,BD0145EN,types,1
372,18,BD0145EN,work,3
373,18,BD0145EN,⊓,1
374,19,HCC105EN,ai,2
375,19,HCC105EN,cloud,2
376,19,HCC105EN,conference,2
377,19,HCC105EN,lab,1
378,19,HCC105EN,hybrid,2
379,19,HCC105EN,pipelines,2
380,20,DE0205EN,data,1
381,20,DE0205EN,course,1
382,20,DE0205EN,dataops,1
383,20,DE0205EN,methodology,1
384,20,DE0205EN,ops,1
385,21,DS0132EN,ai,2
386,21,DS0132EN,data,2
387,21,DS0132EN,introduce,1
388,21,DS0132EN,journey,1
